"date","return","loss","rv21_lag","log_vol","z_vol","t_scaled","exceed","excess","fitted_sigma_vol_model"
1998-08-27,-0.048216993548559,0.048216993548559,0.0145099344217882,-4.23292173161464,1.02374749063355,-1.15869437616175,TRUE,0.0240162862778446,0.00858936727495358
1998-08-31,-0.0740151173270318,0.0740151173270318,0.0171801796044898,-4.06399890820303,1.3633221465878,-1.1578680653212,TRUE,0.0498144100563174,0.00976281879484705
1998-09-09,-0.0245709884045704,0.0245709884045704,0.0265351658471217,-3.62928441259474,2.23720065692275,-1.15538913279955,TRUE,0.000370281133855947,0.0135736059603137
1998-09-17,-0.0289875958786725,0.0289875958786725,0.0277082933856743,-3.58602351039529,2.3241652581765,-1.1529102002779,TRUE,0.00478688860795805,0.0140261319581102
1998-09-24,-0.0248380267631525,0.0248380267631525,0.0294799633721006,-3.52404445412783,2.44875775718482,-1.15084442317652,TRUE,0.000637319492438053,0.0147008733542337
1998-09-30,-0.0308469416176385,0.0308469416176385,0.0280244969862959,-3.57467625893447,2.34697590586172,-1.14919180149542,TRUE,0.00664623434692401,0.0141473060501463
1998-10-01,-0.0292943393113569,0.0292943393113569,0.0234689514749222,-3.75207694523765,1.99035874898018,-1.14877864607514,TRUE,0.0050936320406425,0.0123671192081787
1998-11-30,-0.0286486134494686,0.0286486134494686,0.00924211686232579,-4.6839843219131,0.117005460036486,-1.13183927384386,TRUE,0.00444790617875412,0.00610181337207427
1998-12-14,-0.029238655039844,0.029238655039844,0.0124114593805202,-4.38913508953859,0.709721853356414,-1.12770771964111,TRUE,0.00503794776912957,0.00763012099270348
1999-01-21,-0.0268558662463878,0.0268558662463878,0.0124781930592184,-4.3837727134451,0.720501492130319,-1.11737883413423,TRUE,0.00265515897567336,0.00766120118066144
1999-03-23,-0.0292841179509882,0.0292841179509882,0.011843110278835,-4.43600899155473,0.615494271618816,-1.10002630648267,TRUE,0.00508341068027373,0.00736375350701683
1999-05-14,-0.0262811665001568,0.0262811665001568,0.0113994827853437,-4.47418729431762,0.538746892171837,-1.08473955593249,TRUE,0.00208045922944233,0.00715368629877608
1999-10-13,-0.0262249900909763,0.0262249900909763,0.0118815967728947,-4.43276456558683,0.622016331868389,-1.0413582368036,TRUE,0.0020242828202619,0.0073818870731104
1999-10-15,-0.0259370730694304,0.0259370730694304,0.0126553562699593,-4.36967473287565,0.748841753113614,-1.04053192596305,TRUE,0.00173636579871594,0.00774351798176409
2000-01-04,-0.0398914137181361,0.0398914137181361,0.0081400142038037,-4.81096335403018,-0.138252297759189,-1.01780837784791,TRUE,0.0156907064474216,0.00554183917906023
2000-01-24,-0.0287521652352067,0.0287521652352067,0.0179038993329158,-4.02273675003138,1.44626880164653,-1.01243735738433,TRUE,0.00455145796449229,0.0100730240245227
2000-01-28,-0.0316905962958094,0.0316905962958094,0.0188476101788218,-3.97136915408986,1.54952976642767,-1.01078473570323,TRUE,0.00748988902509495,0.0104730095598123
2000-04-12,-0.0278087344916562,0.0278087344916562,0.0144050139081352,-4.24017894493863,1.00915878279698,-0.989300653848924,TRUE,0.00360802722094177,0.00854224254286362
2000-04-14,-0.058892728847332,0.058892728847332,0.0152752814417579,-4.18151934910188,1.12707838461503,-0.988474343008374,TRUE,0.0346920215766175,0.00893067440546775
2000-10-12,-0.0252650803493486,0.0252650803493486,0.0112735695740351,-4.48529426868959,0.516419258019862,-0.936829915473976,TRUE,0.00106437307863416,0.00709370574037694
2000-10-17,-0.0251901894806652,0.0251901894806652,0.0140122519337498,-4.26782319395199,0.953587332129525,-0.93559044921315,TRUE,0.000989482209950758,0.00836509059239507
2000-11-10,-0.0246259285608614,0.0246259285608614,0.0168578385855112,-4.0829395324016,1.32524703147967,-0.928153651648197,TRUE,0.000425221290146986,0.00962364185606449
2000-12-20,-0.029390502846832,0.029390502846832,0.017051645188992,-4.07150858788467,1.34822592191717,-0.916998455300767,TRUE,0.00518979557611753,0.00970739797417091
2001-01-05,-0.0331874251168669,0.0331874251168669,0.0213753734761798,-3.84551579174214,1.80252466289455,-0.912866901098015,TRUE,0.00898671784615245,0.0115214171206841
2001-03-09,-0.0300245368075736,0.0300245368075736,0.0120180513151343,-4.42134548322311,0.644971376584428,-0.895101218026183,TRUE,0.00582382953685911,0.00744606587696583
2001-03-12,-0.0437445453894565,0.0437445453894565,0.0133880123408221,-4.31339557385113,0.861976116352254,-0.894688062605907,TRUE,0.019543838118742,0.00808103454882402
