"cluster_id","start_index","end_index","start_date","end_date","cluster_size","cluster_duration_trading_days","cluster_max_loss","cluster_max_excess","cluster_max_date","z_vol_at_cluster_max","t_scaled_at_cluster_max","rv21_lag_at_cluster_max"
61,3969,3969,2008-12-01,2008-12-01,1,1,0.0927494720951625,0.068548764824448,2008-12-01,3.2250865314119,-0.0923402364315033,0.0433756749499902
62,3977,3977,2008-12-11,2008-12-11,1,1,0.0243761874465394,0.000175480175824909,2008-12-11,3.34914608367733,-0.0890349930693018,0.046136885004721
63,3994,4002,2009-01-07,2009-01-20,4,9,0.0542304051346454,0.0300296978639309,2009-01-20,1.26548265297013,-0.0787061075624222,0.0163640312245859
64,4009,4009,2009-01-29,2009-01-29,1,1,0.0330372456752945,0.00883653840458009,2009-01-29,1.99066968867297,-0.075814019620496,0.0234725818918444
65,4017,4033,2009-02-10,2009-03-05,5,17,0.0468915597122708,0.0226908524415563,2009-02-10,1.99352223170516,-0.0725087762582945,0.0235059133490155
66,4050,4050,2009-03-30,2009-03-30,1,1,0.0351660483281071,0.0109653410573927,2009-03-30,2.47378827623952,-0.0588746473892135,0.0298493290007954
67,4064,4064,2009-04-20,2009-04-20,1,1,0.0428195801422167,0.0186188728715022,2009-04-20,2.06013230882943,-0.0530904715053609,0.0242978405702237
68,4081,4081,2009-05-13,2009-05-13,1,1,0.0254951512298653,0.0012944439591509,2009-05-13,1.40744685471032,-0.0460668293606828,0.0175614540624325
69,4108,4108,2009-06-22,2009-06-22,1,1,0.0304461345028804,0.00624542723216592,2009-06-22,0.792429449658462,-0.0349116330132529,0.0129327574103687
70,4116,4116,2009-07-02,2009-07-02,1,1,0.0276734088007897,0.00347270153007528,2009-07-02,0.590986604274855,-0.0316063896510515,0.0116996022615535
71,4147,4147,2009-08-17,2009-08-17,1,1,0.0249131686729775,0.000712461402263102,2009-08-17,-0.0369560806626158,-0.0187985716225208,0.00856070159643243
72,4179,4179,2009-10-01,2009-10-01,1,1,0.025126042329422,0.000925335058707503,2009-10-01,0.181286388196751,-0.00557759817371496,0.00954242620058103
73,4200,4200,2009-10-30,2009-10-30,1,1,0.029401158570904,0.00520045130018953,2009-10-30,0.655338954590317,0.00309866565206387,0.0120801932574443
74,4265,4265,2010-02-04,2010-02-04,1,1,0.0313522070955727,0.00715149982485829,2010-02-04,0.3505649820704,0.0299537679699507,0.0103807809574721
75,4328,4328,2010-05-06,2010-05-06,1,1,0.0337772097426106,0.00957650247189611,2010-05-06,0.48499907322313,0.0559825594472872,0.0110987324580151
76,4338,4338,2010-05-20,2010-05-20,1,1,0.0384911577560629,0.0142904504853485,2010-05-20,1.33742380229519,0.060114113650039,0.0169602629066118
77,4348,4348,2010-06-04,2010-06-04,1,1,0.0357690520027454,0.0115683447320309,2010-06-04,1.68162915619377,0.0642456678527909,0.0201277511115229
78,4365,4365,2010-06-29,2010-06-29,1,1,0.0313616733558248,0.0071609660851104,2010-06-29,1.12055470284076,0.071269309997469,0.015225789949554
79,4377,4377,2010-07-16,2010-07-16,1,1,0.0279206082397883,0.00371990096907381,2010-07-16,0.715656060713226,0.0762271750407711,0.0124481520919823
80,4395,4395,2010-08-11,2010-08-11,1,1,0.0277897147533137,0.00358900748259926,2010-08-11,0.552197659907385,0.0836639726057244,0.0114760140792063
81,4641,4647,2011-08-02,2011-08-10,4,7,0.0673404088556753,0.0431397015849608,2011-08-08,0.941257404296504,0.18695282767452,0.0139265697895312
82,4653,4653,2011-08-18,2011-08-18,1,1,0.0440758024439356,0.0198750951732212,2011-08-18,2.25659883223216,0.190258071036721,0.0267924617318251
83,4664,4668,2011-09-02,2011-09-09,2,5,0.0265595265221403,0.00235881925142589,2011-09-09,1.98597004403077,0.196455402340849,0.0234177704299615
84,4676,4677,2011-09-21,2011-09-22,2,2,0.0328583512377891,0.00865764396707468,2011-09-22,1.46078299113508,0.200173801123326,0.0180336358563733
85,4683,4684,2011-09-30,2011-10-03,2,2,0.0288704766252854,0.00466976935457097,2011-10-03,1.4955411902053,0.203065889065252,0.0183481597496299
86,4704,4705,2011-10-31,2011-11-01,2,2,0.0282849226390338,0.00408421536831937,2011-11-01,1.47726041249118,0.211742152891031,0.0181820607429716
87,4711,4711,2011-11-09,2011-11-09,1,1,0.0376079410494574,0.013407233778743,2011-11-09,1.28220870477752,0.214221085412682,0.0165007552428708
